Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4ff00b936123ed71e5faa1f2b8632d0df7b3885bdaacc34a88bd384a3e233d79,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
a1e03e0207629eda2dae134f6450e1c10006af1f4b19368c4742bf0be5acbefb,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
ce129198a0b82e9d8197e0e192dd094d954788a689382a371df524e1111997ff,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
dcda652a839e6ffb3d8f2e7f134f95d992520f502eb58ed5870c86b6214e31c1,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
4ee14389807c55b1991ed1a8ddea2c51b03dda5e46f69cc84410b1d1fd06b4cd,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
aecd1820bc35a4282322344f11423b45f2692c99203389730f6da9bf9496e4ab,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
9f88d27484341b81b544b2eeebcf916cd0b64422559e2a587e88e960ab603a34,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
d710024f94e2afe88f130269d5bcf83df405e9588f3b57354a2e79047a70e83a,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
56a8b78969f4fd7d3ad121c7b7aef1da50f4ed2c8f73ca6c8d9013413fe5d1ba,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
23bab35bea34d49f95c7253e5cdeecad12d01286d76bb25223c691074e6ad6f6,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
1d09953eff14551033522e330890226da4e9b1482917f518db57e8fc0c7df9a8,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
edf1791e4ec69df7db5cdee3294ddc4cc77095c123b0e4b45cbae13671908666,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
54159878e1b2b56fc9fe7167bb8787f5480370be75220ae9be7a18369474e222,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
cc23a60dfd0c8a54caada2146dde609a1838f1ae4ce9009cbdb507e060e0fd40,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
f5422b87daa69521379dd6d70506f315a39163c3ec875e11b868c5993c9959dd,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
de47513001e025a29cc05ce123e125135b191b99536c575d002e7157b594ac94,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
4e29932da459c5a79a9e457eaf7443a1380b387f9b4697bc5b8abb4badd66f96,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
5aebe7d13da2be758ed42f1c2fc556bb03a8899ecdce325a3c773244e12aeda7,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
6792f2fa4c8caa5e2f461082ab6b11eaa4b371208607b41b4044a0de1d30272b,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
924f6b34354c7561db591c766d472ccc39eb8c3cd58901da960a4a173fb5d32e,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
84420c7f08e0b07b8ce38b416d9a554cfece80232756640b23f746bd0dbee45c,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
dea5a5283ed432e4d92246078bfc51b0c88539b6d8e416b9c483c03cb28b08d0,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
344ede1efbbf468ae3031269b6d54c1fff1e6c3b1f5d6da3b817b4ae56b87364,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
83ac987c16c138534ed9cb467e9d604ca5cc59206021e46c6156987b1a1e7dd2,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
7d7d0e806d64169b4ba8066e56f816e867b89449fefc3907653f25ed77d9b7ca,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
76bdb13ec3fd81c5b67142353649211d3abb9da2fed6cb04a7b11994383baf40,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
40b4debd8ea736ec76ee5fbc256e8ab5570db5d35343b315fa653c295ab993e6,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
face93275552bce77b2a4acb5b0177e999cf2d8b8fdcc9f70cc47c892d5c8402,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
d6339735d3ba2fdd066f117a955a16999650cee78fbb5844645b4eb14ea1ccf1,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
74436b7508203c34056349088efd054f5e97ce4e38b97a0721680afe064792df,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
4f063b65718972bd32ce825c74972ad53667058510b22cb0bf05a574510dabf7,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
3bb6330443033addf008e5ecdd809b6bbac24aaa68f1700adb9e00ceac8021dd,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
4ddfeaff3f07ed4792fa613a9b6d6cbc994c77c29c93819b7b59ddcece17e3d4,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
6606482a9bf8e064c257bdc9c8a79ebcf92d6c2a79084de4cd403679ac7b2976,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
d0559b376adc363067b247089fa994db2e28105545db3d3bb7d481fdd3db3d93,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
74dfe7a9df29699611a1878adfa0b9954effd104e3429dd05504daba271926ee,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
65061119f1d766c71f5eea25e47234bd72a840b536d8ba936bc059b6788408cd,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
c761e2836999bea51a703a25841970a02840a6e13d6e52fbd7ca1c3e6b1fb628,2016-05,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
