Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
eddd267752aa3f6bf6ab7f575ced4fda130d5d1c09463840f423f5744831e2a3,2016-04,Staffordshire Police,Staffordshire Police,-1.677349,52.625114,On or near FURNESS,E01029833,Tamworth 005A,Investigation complete; no suspect identified
fcc93b542673daa72fb649b94d772457ed9e4d610659addd39c759b793e75b40,2016-04,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
c963d205fc5038550421f6479546531b2f741119e24bd3f5906a9bef95a2dd58,2016-04,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
614a8ccd3e0def5c70be2127d77c529d9c04f60c60b6ca6e324e8174b10da0d5,2016-04,Staffordshire Police,Staffordshire Police,-2.127513,52.795172,On or near ROWLEY HALL CLOSE,E01029737,Stafford 012C,Investigation complete; no suspect identified
362ea33bd01a33f5285fea9b37d2af374427af576335c1089782509a1e326640,2016-04,Staffordshire Police,Staffordshire Police,-1.636391,52.802487,On or near SHANNON APPROACH,E01032898,East Staffordshire 011H,Investigation complete; no suspect identified
f76c1f8c670de6d8523069e73d797710fdce6826b5b3eb1f8b7a688bb3898e9e,2016-04,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
ee85159d2f2b39613176b5a53ff366727c2624fd107972a89be49f7287ccb4d0,2016-04,Staffordshire Police,Staffordshire Police,-2.034597,52.696611,On or near CARDINAL WAY,E01029356,Cannock Chase 007C,Investigation complete; no suspect identified
f8cd047bf6acc3e6fe0aff27e337aac9273426af22dd99b2aa3104747b8310cf,2016-04,Staffordshire Police,Staffordshire Police,-2.036004,52.680555,On or near Supermarket,E01029361,Cannock Chase 012C,Investigation complete; no suspect identified
8624a4499980f68c542371d9fc62bc2734c0b0076bf8e31a714ecf50ce6f0a25,2016-04,Staffordshire Police,Staffordshire Police,-2.186591,52.623904,On or near WOLVERHAMPTON ROAD,E01029614,South Staffordshire 008B,Investigation complete; no suspect identified
27986bf5cb1f5bf2ecbefc41147a9aaca0ca758ff9c14c09cbb9f8cb3f62c72b,2016-04,Staffordshire Police,Staffordshire Police,-1.639560,52.812053,On or near VICTORIA STREET,E01029447,East Staffordshire 009C,Investigation complete; no suspect identified
aac5aca56cf50da98243a63b86fb15f4e88a669de473ab1d52f4281f75153dd2,2016-04,Staffordshire Police,Staffordshire Police,-1.827229,52.682719,On or near Theatre/Concert Hall,E01029526,Lichfield 004E,Investigation complete; no suspect identified
b5791ea0d1509632dce01e5ee9fd5c04847a39ad9872bfaf38839071f34d0eab,2016-04,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
b72641ccb300c19deb5d6aaa2eda382bf913486d3fa1a12bced1271e35af2655,2016-04,Staffordshire Police,Staffordshire Police,-1.843366,52.674884,On or near Supermarket,E01029512,Lichfield 007C,Investigation complete; no suspect identified
d136e44ade9271a4d7f1e48227c9663aed212fcf29c12192c01e3189ba2986d4,2016-04,Staffordshire Police,Staffordshire Police,-1.906881,52.677459,On or near Supermarket,E01029476,Lichfield 009B,Investigation complete; no suspect identified
cf82165cc1ea29921da222500c516511175c3d059ea287b98be636c051d04a67,2016-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
ae6e2be60a0ad73c975ea439f87c9bf6c17b82eb6b4eae0530ff1a84e4cf70b8,2016-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
60e59e7213b1e07ec2860322f639f36a6a3eaeddea97ff26186437b72e7a5885,2016-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
