Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a4209ebe1d10c93041cb6d13547aceba490dc092bed8224159899df922a4a298,2016-03,Staffordshire Police,Staffordshire Police,-2.253809,53.046822,On or near BLACKTHORN PLACE,E01029547,Newcastle-under-Lyme 007A,Investigation complete; no suspect identified
c9339cb0054985f1c06e21bf7fd1bd0e18eccf32f2d103ee84ac3ca67de514f4,2016-03,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given community sentence
9266d2ca12dfc2de4af0c114722a321a0624380085ecf1022cb3c963acc19ce2,2016-03,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
a82643380f62f17872bbb955d1a0d733c4bab95f88af520f1258921d71481a11,2016-03,Staffordshire Police,Staffordshire Police,-2.163895,52.914183,On or near JOULES DRIVE,E01029744,Stafford 003B,Suspect charged
d8b3a40df3c4fd84d8e08dbf765735980eedf31f29a8952f84fda0c642925a2e,2016-03,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
464d8987f57e3c291193c52028a55a36686e6a31d5bacee26a675ba070149516,2016-03,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
b422f0626fc10421ff183575867defbd4f22b2a29832213ded9904bedbfae333,2016-03,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
d2fb070a4f81995be74c0a62a2d4597512d1aeb8298b17bc17f8268f8ed77173,2016-03,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
1f73c2c0342722b7431fc5c79ef7f52e2c657b1c0b76baa9f23f7e3158792a67,2016-03,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
f17fa7331104dc5ebe9415de78937352e1268a13235374bbfb25f6521370b9b8,2016-03,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
09dbaeafc639cbb5cd57aaeb760c3b6d8e046d0a3d2d9faf602afc619a008aa3,2016-03,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
